"id","nombre_cuadro","especialidad","cie10","cie10_descripcion","prioridad","hallazgo_critico","estudio_tipico","tipo_estudio","hallazgos_tipicos","conclusion_tipica","medicamentos_tipicos","procedimiento_tipico","dias_reposo_tipico","tipos_documento","palabras_clave","notas"
"CC-01","Tromboembolismo pulmonar agudo","Neumonología / Emergencias","I26.9","Embolia pulmonar sin mención de corazón pulmonar agudo","Urgente","tromboembolismo pulmonar","Angiotomografía de tórax con contraste","imagenes","Defecto de llenado en la arteria pulmonar principal derecha y ramas lobares. Dilatación del ventrículo derecho con relación VD/VI de 1,2. Sin derrame pleural.","Cuadro compatible con tromboembolismo pulmonar agudo. Se sugiere correlación clínica urgente.","MED-07:80 mg SC c/12h (1 mg/kg)","Angiotomografía de tórax","","Informe de Estudio por Imagenes;Epicrisis;Orden de Solicitud de Procedimiento","disnea súbita; dolor torácico pleurítico; taquicardia 118; saturación 88 %; dímero D elevado; reposo prolongado","Es el caso del brief. Sirve como referencia de formato."
"CC-02","Infarto agudo de miocardio con elevación del ST","Cardiología / Emergencias","I21.9","Infarto agudo del miocardio, sin otra especificación","Urgente","infarto agudo de miocardio","Electrocardiograma de 12 derivaciones y troponina I","laboratorio","Supradesnivel del segmento ST de 3 mm en DII, DIII y aVF. Troponina I 4,8 ng/mL (valor de referencia menor a 0,04).","Infarto agudo de miocardio de cara inferior con elevación del ST. Activación inmediata de hemodinamia.","","Cateterismo cardíaco de urgencia","","Informe de Laboratorio;Epicrisis;Orden de Solicitud de Procedimiento","dolor precordial opresivo; sudoración; irradiado a brazo izquierdo; inicio hace 40 minutos","Combina laboratorio y ECG en un mismo informe."
"CC-03","Accidente cerebrovascular isquémico agudo","Neurología / Emergencias","I63.9","Infarto cerebral, no especificado","Urgente","accidente cerebrovascular","Tomografía de cráneo sin contraste","imagenes","Hipodensidad incipiente en territorio de la arteria cerebral media izquierda. Signo de la arteria hiperdensa. Sin hemorragia intracraneal.","Accidente cerebrovascular isquémico agudo en territorio de ACM izquierda, dentro de ventana terapéutica.","","Angiotomografía de vasos de cuello y cerebro","","Informe de Estudio por Imagenes;Epicrisis;Orden de Solicitud de Procedimiento","hemiparesia derecha; afasia; inicio súbito hace 2 horas; NIHSS 12",""
"CC-04","Sepsis de foco urinario","Infectología / Emergencias","A41.9","Septicemia, no especificada","Urgente","sepsis","Hemograma, lactato, PCR, función renal y hemocultivos","laboratorio","Leucocitos 22.400/mm3 con desviación a la izquierda. Lactato 3,8 mmol/L. PCR 210 mg/L. Creatinina 2,1 mg/dL. Hemocultivos en curso.","Sepsis de probable foco urinario con disfunción renal aguda. Inicio inmediato de antibioticoterapia y reanimación con fluidos.","","Internación en unidad de cuidados intermedios","","Informe de Laboratorio;Epicrisis;Orden de Solicitud de Procedimiento","fiebre 39,5; hipotensión 85/50; taquicardia 124; alteración del sensorio; disuria previa","Buen candidato para urgencia con ambigüedad: laboratorio crítico sin nombre de paciente."
"CC-05","Neumotórax a tensión","Cirugía torácica / Emergencias","J93.0","Neumotórax espontáneo a presión","Urgente","neumotórax a tensión","Radiografía de tórax anteroposterior","imagenes","Colapso completo del pulmón derecho con desviación mediastínica contralateral y descenso del hemidiafragma derecho.","Neumotórax a tensión derecho. Requiere descompresión inmediata.","","Colocación de tubo de drenaje pleural","","Informe de Estudio por Imagenes;Epicrisis;Orden de Solicitud de Procedimiento;Otro","disnea severa; ausencia de murmullo vesicular derecho; hipotensión; ingurgitación yugular","Se reusa en un caso fuera de alcance (AMB-6): el mismo cuadro clínico dentro de un documento que no es de los seis tipos."
"CC-06","Hemorragia digestiva alta activa","Gastroenterología / Emergencias","K92.2","Hemorragia gastrointestinal, no especificada","Urgente","hemorragia activa","Hemograma de urgencia y endoscopia digestiva alta","laboratorio","Hemoglobina 6,4 g/dL (previa 13,1). Hematocrito 19 %. Urea 98 mg/dL. Endoscopia: úlcera duodenal Forrest Ib con sangrado activo.","Hemorragia digestiva alta activa por úlcera duodenal con anemia aguda severa. Tratamiento endoscópico y transfusión.","","Endoscopia digestiva alta de urgencia","","Informe de Laboratorio;Informe de Estudio por Imagenes;Epicrisis;Orden de Solicitud de Procedimiento","melena; hematemesis; mareo; palidez; consumo de AINE","Hemoglobina 6,4 sin la palabra hemorragia es un buen caso para probar el juicio del modelo."
"CC-07","Hiperpotasemia severa","Nefrología / Emergencias","E87.5","Hiperpotasemia","Urgente","hiperpotasemia severa","Ionograma y electrocardiograma","laboratorio","Potasio sérico 7,1 mmol/L (referencia 3,5 a 5,0). Creatinina 4,2 mg/dL. ECG con ondas T picudas y QRS ensanchado.","Hiperpotasemia severa con cambios electrocardiográficos en paciente con enfermedad renal crónica. Tratamiento inmediato.","","Hemodiálisis de urgencia","","Informe de Laboratorio;Epicrisis;Otro","debilidad muscular; enfermedad renal crónica en hemodiálisis; faltó a la última sesión","Un potasio de 7,1 sin la palabra severa debe disparar urgencia igual: probar con y sin la palabra. Se reusa en un caso fuera de alcance (AMB-6): el mismo cuadro clínico dentro de un documento que no es de los seis tipos."
"CC-08","Apendicitis aguda complicada","Cirugía general / Emergencias","K35.0","Apendicitis aguda con peritonitis generalizada","Urgente","peritonitis","Tomografía de abdomen y pelvis con contraste","imagenes","Apéndice cecal de 14 mm con engrosamiento parietal y apendicolito. Líquido libre en fondo de saco y neumoperitoneo localizado.","Apendicitis aguda complicada con signos de perforación y peritonitis. Valoración quirúrgica urgente.","","Apendicectomía laparoscópica","","Informe de Estudio por Imagenes;Epicrisis;Orden de Solicitud de Procedimiento;Otro","dolor en fosa ilíaca derecha; fiebre; defensa abdominal; 36 horas de evolución","Peritonitis está en la lista de hallazgos críticos. Se reusa en un caso fuera de alcance (AMB-6): el mismo cuadro clínico dentro de un documento que no es de los seis tipos."
"CC-09","Nódulo pulmonar sospechoso","Neumonología","R91","Hallazgos anormales en diagnóstico por imagen del pulmón","Prioritario","","Tomografía de tórax sin contraste","imagenes","Nódulo sólido espiculado de 14 mm en el lóbulo superior derecho. Sin adenopatías mediastínicas ni derrame.","Nódulo pulmonar solitario de características sospechosas. Se sugiere completar estudio con PET-TC y valoración por neumonología.","","PET-TC de cuerpo entero","","Informe de Estudio por Imagenes;Orden de Solicitud de Procedimiento;Otro","tabaquista 40 paquetes/año; hallazgo incidental; tos crónica","Prioritario, no urgente: prueba que el modelo distingue sospechoso de crítico. Se reusa en un caso fuera de alcance (AMB-6): el mismo cuadro clínico dentro de un documento que no es de los seis tipos."
"CC-10","Anemia ferropénica moderada","Hematología / Medicina general","D50.9","Anemia por deficiencia de hierro sin otra especificación","Prioritario","","Hemograma y perfil de hierro","laboratorio","Hemoglobina 9,2 g/dL. VCM 71 fL. Ferritina 8 ng/mL. Saturación de transferrina 9 %.","Anemia microcítica hipocrómica por déficit de hierro, de grado moderado. Iniciar hierro oral y estudiar la causa.","","Videocolonoscopia","","Informe de Laboratorio;Receta Medica;Orden de Solicitud de Procedimiento","astenia; palidez; menorragia; mujer de 38 años",""
