"id","nombre","sinonimos","atc","dci_en","atc_alternativo","clase","via","dosis_min_toma","dosis_max_toma","unidad","frecuencia_tipica","dosis_max_dia","validar_dosis","nota_dosis","periodicidad_especial","alto_riesgo","indicacion_tipica","notas","motivo","fuente_verificacion","buscar_en_vnm","producto_consultado","fecha_consulta","estado_verificacion"
"MED-01","ácido fólico","folato; vitamina B9","B03BB01","folic acid","","vitamina","VO","0,4","5","mg","c/24h","15","si","ANMAT: 1 a 5 mg/día; hasta 15 mg/día en malabsorción. 0,4 mg es la dosis de suplementación","","no","embarazo, anemia megaloblástica","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","ácido fólico","GALFOL comprimidos 1, 5 y 10 mg","2026-09-25","verificado"
"MED-02","amlodipino","amlodipina; besilato de amlodipino","C08CA01","amlodipine","","calcioantagonista","VO","2,5","10","mg","c/24h","10","si","ANMAT: inicio 5 mg/día, máximo 10. 2,5 mg se usa en mayores y en insuficiencia hepática","","no","hipertensión","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","amlodipina","VERODIPIN comprimidos 5 y 10 mg","2026-09-25","verificado"
"MED-03","amoxicilina","amoxicilina trihidrato","J01CA04","amoxicillin","","antibiótico betalactámico","VO","250","1000","mg","c/8h o c/12h","3000","si","ANMAT: 250 a 875 mg según gravedad; 1000 mg solo en erradicación de H. pylori","","no","faringoamigdalitis, otitis, sinusitis","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","amoxicilina","FABAMOX comprimidos recubiertos 500 mg","2026-09-25","verificado"
"MED-04","amoxicilina-clavulánico","amoxicilina con ácido clavulánico; amoxicilina/clavulanato; amoxi-clavulánico","J01CR02","amoxicillin and beta-lactamase inhibitor","","antibiótico betalactámico","VO","500","875","mg","c/8-12h","3000","si","El rango es de amoxicilina; el clavulánico acompaña en proporción fija","","no","infecciones respiratorias y urinarias","dosis expresada en amoxicilina","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","amoxicilina + ácido clavulánico","CLAVULOX 1 g comprimidos recubiertos 875 mg + 125 mg","2026-09-25","verificado"
"MED-05","atorvastatina","atorvastatina cálcica","C10AA05","atorvastatin","","estatina","VO","10","80","mg","c/24h","80","si","Coincide con el prospecto consultado","","no","dislipidemia","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","atorvastatina","NORMOLIPOL comprimidos recubiertos 10 y 20 mg","2026-09-25","verificado"
"MED-06","ceftriaxona","ceftriaxona sódica","J01DD04","ceftriaxone","","antibiótico cefalosporina","IV/IM","1000","4000","mg","c/12-24h","4000","si","ANMAT: hasta 4 g/día en infecciones severas, en una o dos tomas","","no","sepsis, neumonía, pielonefritis","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","ceftriaxona","ACANTEX polvo para inyectable 1000 mg","2026-09-25","verificado"
"MED-07","enoxaparina","enoxaparina sódica; heparina de bajo peso molecular; HBPM","B01AB05","enoxaparin","","anticoagulante","SC","40","100","mg","c/12-24h","200","no","Profilaxis 20 a 40 mg/día, pero el tratamiento se dosifica por peso (1 mg/kg c/12h)","","si","profilaxis y tratamiento de tromboembolismo","profilaxis 40 mg/día; tratamiento 1 mg/kg c/12h","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","enoxaparina","CLEXANE jeringas prellenadas 20, 40, 60, 80 y 100 mg","2026-09-25","por_protocolo"
"MED-08","ibuprofeno","ibuprofeno sódico","M01AE01","ibuprofen","","AINE","VO","200","600","mg","c/6-8h","2400","si","Coincide con el prospecto consultado","","no","dolor, inflamación, fiebre","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","ibuprofeno","IBUXIM comprimidos 600 mg","2026-09-25","verificado"
"MED-09","insulina glargina","glargina; insulina basal","A10AE04","insulin glargine","","insulina de acción prolongada","SC","2","100","UI","c/24h","100","no","Dosis individualizada por glucemia y titulada. La unidad del prospecto es U, no UI","","si","diabetes tipo 1 y tipo 2","dosis individualizada por peso y glucemias; validar coherencia, no rango estricto","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","insulina glargina","LANTUS 100 U/ml lapicera prellenada 3 ml","2026-09-25","por_protocolo"
"MED-10","losartán","losartán potásico; losartan","C09CA01","losartan","","antagonista del receptor de angiotensina II","VO","25","100","mg","c/24h","100","si","Coincide con el prospecto consultado","","no","hipertensión","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","losartán","TARCANE 50 comprimidos recubiertos 50 mg","2026-09-25","verificado"
